id,name,symbolSize,x,y,value,category,source,target,categoryName
0,Myriel,19.12381,-266.82776,299.6904,28.685715,0,1,0,A
1,Napoleon,2.6666666666666665,-418.08344,446.8853,4,0,2,0,B
2,MlleBaptistine,6.323809333333333,-212.76357,245.29176,9.485714,1,3,0,C
3,MmeMagloire,6.323809333333333,-242.82404,235.26283,9.485714,1,3,2,D
4,CountessDeLo,2.6666666666666665,-379.30386,429.06424,4,0,4,0,E
5,Geborand,2.6666666666666665,-417.26337,406.03506,4,0,5,0,F
6,Champtercier,2.6666666666666665,-332.6012,485.16974,4,0,6,0,G
7,Cravatte,2.6666666666666665,-382.69568,475.09113,4,0,7,0,H
8,Count,2.6666666666666665,-320.384,387.17325,4,0,8,0,I
9,OldMan,2.6666666666666665,-344.39832,451.16772,4,0,9,0,A
10,Labarre,2.6666666666666665,-89.34107,234.56128,4,1,11,0,C
11,Valjean,66.66666666666667,-87.93029,-6.8120565,100,1,11,2,B
12,Marguerite,4.495239333333333,-339.77908,-184.69139,6.742859,1,11,3,D
13,MmeDeR,2.6666666666666665,-194.31313,178.55301,4,1,11,10,A
14,Isabeau,2.6666666666666665,-158.05168,201.99768,4,1,12,11,D
15,Gervais,2.6666666666666665,-127.701546,242.55057,4,1,13,11,B
16,Tholomyes,17.295237333333333,-385.2226,-393.5572,25.942856,2,14,11,I
17,Listolier,13.638097333333334,-516.55884,-393.98975,20.457146,2,15,11,G
18,Fameuil,13.638097333333334,-464.79382,-493.57944,20.457146,2,17,16,A
19,Blacheville,13.638097333333334,-515.1624,-456.9891,20.457146,2,18,16,H
20,Favourite,13.638097333333334,-408.12122,-464.5048,20.457146,2,18,17,D
21,Dahlia,13.638097333333334,-456.44113,-425.13303,20.457146,2,19,16,A
22,Zephine,13.638097333333334,-459.1107,-362.5133,20.457146,2,19,17,B
23,Fantine,28.266666666666666,-313.42786,-289.44803,42.4,2,19,18,H
24,MmeThenardier,20.95238266666667,4.6313396,-273.8517,31.428574,7,20,16,C
25,Thenardier,30.095235333333335,82.80825,-203.1144,45.142853,7,20,17,G
26,Cosette,20.95238266666667,78.64646,-31.512747,31.428574,6,20,18,H
27,Javert,31.923806666666668,-81.46074,-204.20204,47.88571,7,20,19,I
28,Fauchelevent,8.152382000000001,-225.73984,82.41631,12.228573,4,21,16,B
29,Bamatabois,15.466666666666667,-385.6842,-20.206686,23.2,3,21,17,D
30,Perpetue,4.495239333333333,-403.92447,-197.69823,6.742859,2,21,18,G
31,Simplice,8.152382000000001,-281.4253,-158.45137,12.228573,2,21,19,A
32,Scaufflaire,2.6666666666666665,-122.41348,210.37503,4,1,21,20,D
33,Woman1,4.495239333333333,-234.6001,-113.15067,6.742859,1,22,16,I
34,Judge,11.809524666666666,-387.84915,58.7059,17.714287,3,22,17,H
35,Champmathieu,11.809524666666666,-338.2307,87.48405,17.714287,3,22,18,C
36,Brevet,11.809524666666666,-453.26874,58.94648,17.714287,3,22,19,E
37,Chenildieu,11.809524666666666,-386.44904,140.05937,17.714287,3,22,20,B
38,Cochepaille,11.809524666666666,-446.7876,123.38005,17.714287,3,22,21,E
39,Pontmercy,6.323809333333333,336.49738,-269.55914,9.485714,6,23,11,D
40,Boulatruelle,2.6666666666666665,29.187843,-460.13132,4,7,23,12,I
41,Eponine,20.95238266666667,238.36697,-210.00926,31.428574,7,23,16,G
42,Anzelma,6.323809333333333,189.69513,-346.50662,9.485714,7,23,17,B
43,Woman2,6.323809333333333,-187.00418,-145.02663,9.485714,6,23,18,H
44,MotherInnocent,4.495239333333333,-252.99521,129.87549,6.742859,4,23,19,I
45,Gribier,2.6666666666666665,-296.07935,163.11964,4,4,23,20,A
46,Jondrette,2.6666666666666665,550.3201,522.4031,4,5,23,21,C
47,MmeBurgon,4.495239333333333,488.13535,356.8573,6.742859,5,23,22,G
48,Gavroche,41.06667066666667,387.89572,110.462326,61.600006,8,24,11,I
49,Gillenormand,13.638097333333334,126.4831,68.10622,20.457146,6,24,23,B
50,Magnon,4.495239333333333,127.07365,-113.05923,6.742859,6,25,11,D
51,MlleGillenormand,13.638097333333334,162.63559,117.6565,20.457146,6,25,23,E
52,MmePontmercy,4.495239333333333,353.66415,-205.89165,6.742859,6,25,24,A
53,MlleVaubois,2.6666666666666665,165.43939,339.7736,4,6,26,11,G
54,LtGillenormand,8.152382000000001,137.69348,196.1069,12.228573,6,26,16,I
55,Marius,35.58095333333333,206.44687,-13.805411,53.37143,6,26,24,H
56,BaronessT,4.495239333333333,194.82993,224.78036,6.742859,6,26,25,D
57,Mabeuf,20.95238266666667,597.6618,135.18481,31.428574,8,27,11,E
58,Enjolras,28.266666666666666,355.78366,-74.882454,42.4,8,27,23,C
59,Combeferre,20.95238266666667,515.2961,-46.167564,31.428574,8,27,24,I
60,Prouvaire,17.295237333333333,614.29285,-69.3104,25.942856,8,27,25,D
61,Feuilly,20.95238266666667,550.1917,-128.17537,31.428574,8,27,26,A
62,Courfeyrac,24.609526666666667,436.17184,-12.7286825,36.91429,8,28,11,E
63,Bahorel,22.780953333333333,602.55225,16.421427,34.17143,8,28,27,C
64,Bossuet,24.609526666666667,455.81955,-115.45826,36.91429,8,29,11,I
65,Joly,22.780953333333333,516.40784,47.242233,34.17143,8,29,23,B
66,Grantaire,19.12381,646.4313,-151.06331,28.685715,8,29,27,C
67,MotherPlutarch,2.6666666666666665,668.9568,204.65488,4,8,30,23,D
68,Gueulemer,19.12381,78.4799,-347.15146,28.685715,7,31,11,I
69,Babet,19.12381,150.35959,-298.50797,28.685715,7,31,23,H
70,Claquesous,19.12381,137.3717,-410.2809,28.685715,7,31,27,C
71,Montparnasse,17.295237333333333,234.87747,-400.85983,25.942856,7,31,30,C
72,Toussaint,6.323809333333333,40.942253,113.78272,9.485714,1,32,11,A
73,Child1,4.495239333333333,437.939,291.58234,6.742859,8,33,11,I
74,Child2,4.495239333333333,466.04922,283.3606,6.742859,8,33,27,G
75,Brujon,13.638097333333334,238.79364,-314.06345,20.457146,7,34,11,H
76,MmeHucheloup,13.638097333333334,712.18353,4.8131495,20.457146,8,34,29,B